School_ID,School_Name,Division_Name,School_Type,Year,History_Pass_Rate,Math_Pass_Rate,Reading_Pass_Rate,Science_Pass_Rate,Writing_Pass_Rate,Overall_Pass_Rate
350,Hughes Middle,Fairfax County,Middle,2023-2024,,72.0,77.0,69.0,,72.7
350,Hughes Middle,Fairfax County,Middle,2024-2025,,74.0,80.0,73.0,,75.7
370,Forestville Elementary,Fairfax County,Elem,2020-2021,,80.0,89.0,74.0,,81.0
370,Forestville Elementary,Fairfax County,Elem,2021-2022,,92.0,93.0,84.0,,89.7
370,Forestville Elementary,Fairfax County,Elem,2022-2023,,92.0,93.0,85.0,,90.0
370,Forestville Elementary,Fairfax County,Elem,2023-2024,,94.0,94.0,92.0,,93.3
370,Forestville Elementary,Fairfax County,Elem,2024-2025,,96.0,95.0,93.0,,94.7
380,Woodlawn Elementary,Fairfax County,Elem,2020-2021,,17.0,44.0,8.0,,23.0
380,Woodlawn Elementary,Fairfax County,Elem,2021-2022,,42.0,52.0,46.0,,46.7
380,Woodlawn Elementary,Fairfax County,Elem,2022-2023,,41.0,51.0,46.0,,46.0
380,Woodlawn Elementary,Fairfax County,Elem,2023-2024,,42.0,54.0,57.0,,51.0
380,Woodlawn Elementary,Fairfax County,Elem,2024-2025,,49.0,50.0,47.0,,48.7
390,Fox Mill Elementary,Fairfax County,Elem,2020-2021,,74.0,85.0,78.0,,79.0
390,Fox Mill Elementary,Fairfax County,Elem,2021-2022,,86.0,87.0,72.0,,81.7
390,Fox Mill Elementary,Fairfax County,Elem,2022-2023,,88.0,87.0,73.0,,82.7
390,Fox Mill Elementary,Fairfax County,Elem,2023-2024,,91.0,88.0,76.0,,85.0
390,Fox Mill Elementary,Fairfax County,Elem,2024-2025,,94.0,91.0,86.0,,90.3
400,White Oaks Elementary,Fairfax County,Elem,2020-2021,,68.0,78.0,56.0,,67.3
400,White Oaks Elementary,Fairfax County,Elem,2021-2022,,84.0,85.0,80.0,,83.0
400,White Oaks Elementary,Fairfax County,Elem,2022-2023,,86.0,86.0,80.0,,84.0
400,White Oaks Elementary,Fairfax County,Elem,2023-2024,,85.0,87.0,81.0,,84.3
400,White Oaks Elementary,Fairfax County,Elem,2024-2025,,85.0,87.0,81.0,,84.3
420,Mount Vernon High,Fairfax County,High,2020-2021,57.0,40.0,58.0,47.0,63.0,53.0
420,Mount Vernon High,Fairfax County,High,2021-2022,55.0,67.0,72.0,56.0,22.0,54.4
420,Mount Vernon High,Fairfax County,High,2022-2023,28.0,75.0,77.0,57.0,33.0,54.0
420,Mount Vernon High,Fairfax County,High,2023-2024,25.0,71.0,76.0,61.0,17.0,50.0
420,Mount Vernon High,Fairfax County,High,2024-2025,14.0,66.0,78.0,63.0,0.0,44.2
430,Oak Hill Elementary,Fairfax County,Elem,2020-2021,,88.0,90.0,82.0,,86.7
430,Oak Hill Elementary,Fairfax County,Elem,2021-2022,,92.0,93.0,88.0,,91.0
430,Oak Hill Elementary,Fairfax County,Elem,2022-2023,,88.0,92.0,88.0,,89.3
430,Oak Hill Elementary,Fairfax County,Elem,2023-2024,,89.0,91.0,88.0,,89.3
430,Oak Hill Elementary,Fairfax County,Elem,2024-2025,,91.0,90.0,83.0,,88.0
440,Franklin Middle,Fairfax County,Middle,2020-2021,,76.0,85.0,74.0,,78.3
440,Franklin Middle,Fairfax County,Middle,2021-2022,,84.0,87.0,79.0,,83.3
440,Franklin Middle,Fairfax County,Middle,2022-2023,,83.0,82.0,76.0,,80.3
440,Franklin Middle,Fairfax County,Middle,2023-2024,,83.0,84.0,76.0,,81.0
440,Franklin Middle,Fairfax County,Middle,2024-2025,,82.0,86.0,85.0,,84.3
470,Newington Forest Elementary,Fairfax County,Elem,2020-2021,,50.0,68.0,40.0,,52.7
470,Newington Forest Elementary,Fairfax County,Elem,2021-2022,,78.0,79.0,74.0,,77.0
470,Newington Forest Elementary,Fairfax County,Elem,2022-2023,,78.0,80.0,62.0,,73.3
470,Newington Forest Elementary,Fairfax County,Elem,2023-2024,,80.0,80.0,74.0,,78.0
470,Newington Forest Elementary,Fairfax County,Elem,2024-2025,,84.0,82.0,72.0,,79.3
480,Cherry Run Elementary,Fairfax County,Elem,2020-2021,,80.0,90.0,83.0,,84.3
480,Cherry Run Elementary,Fairfax County,Elem,2021-2022,,86.0,88.0,81.0,,85.0
480,Cherry Run Elementary,Fairfax County,Elem,2022-2023,,84.0,89.0,84.0,,85.7
480,Cherry Run Elementary,Fairfax County,Elem,2023-2024,,86.0,93.0,86.0,,88.3
480,Cherry Run Elementary,Fairfax County,Elem,2024-2025,,88.0,89.0,82.0,,86.3
490,Freedom Hill Elementary,Fairfax County,Elem,2020-2021,,58.0,65.0,43.0,,55.3
490,Freedom Hill Elementary,Fairfax County,Elem,2021-2022,,60.0,68.0,57.0,,61.7
490,Freedom Hill Elementary,Fairfax County,Elem,2022-2023,,60.0,66.0,47.0,,57.7
490,Freedom Hill Elementary,Fairfax County,Elem,2023-2024,,60.0,66.0,65.0,,63.7
490,Freedom Hill Elementary,Fairfax County,Elem,2024-2025,,69.0,71.0,66.0,,68.7
510,Mount Eagle Elementary,Fairfax County,Elem,2020-2021,,11.0,31.0,9.0,,17.0
510,Mount Eagle Elementary,Fairfax County,Elem,2021-2022,,32.0,45.0,33.0,,36.7
510,Mount Eagle Elementary,Fairfax County,Elem,2022-2023,,42.0,38.0,54.0,,44.7
510,Mount Eagle Elementary,Fairfax County,Elem,2023-2024,,31.0,34.0,32.0,,32.3
510,Mount Eagle Elementary,Fairfax County,Elem,2024-2025,,53.0,45.0,54.0,,50.7
520,Weyanoke Elementary,Fairfax County,Elem,2020-2021,,12.0,30.0,20.0,,20.7
520,Weyanoke Elementary,Fairfax County,Elem,2021-2022,,36.0,45.0,28.0,,36.3
520,Weyanoke Elementary,Fairfax County,Elem,2022-2023,,37.0,44.0,52.0,,44.3
520,Weyanoke Elementary,Fairfax County,Elem,2023-2024,,40.0,39.0,43.0,,40.7
520,Weyanoke Elementary,Fairfax County,Elem,2024-2025,,49.0,48.0,40.0,,45.7
530,Graham Road Elementary,Fairfax County,Elem,2020-2021,,18.0,31.0,18.0,,22.3
530,Graham Road Elementary,Fairfax County,Elem,2021-2022,,46.0,52.0,72.0,,56.7
530,Graham Road Elementary,Fairfax County,Elem,2022-2023,,47.0,51.0,51.0,,49.7
