registration_number,system_id,entity_name,carrier_category,status,structure_type,overall_height_agl,overall_height_amsl,city,state,county_fips,zip_code
A1207312,1317248,,Unknown,C,MTOWER,59.4,60.7,Ewing,VA,51105,24248
A1240158,1317380,,Unknown,C,MTOWER,45.7,46.9,Orange,VA,51137,22960
A1220320,1317393,,Unknown,C,LTOWER,91.4,92.9,Hillsville,VA,51035,24343
A1212765,1317502,Milestone Towers,Tower Infrastructure,A,MTOWER,40.2,40.2,WATERFORD,VA,51107,20197
A1243641,1317611,,Unknown,C,LTOWER,59.4,60.6,Galax,VA,51077,24333
A1146371,1317673,,Unknown,G,MTOWER,12.1,12.1,Dulles,VA,51107,20166
A1146376,1317674,,Unknown,G,MTOWER,12.1,12.1,Dulles,VA,51107,20166
A1158152,1317870,,Unknown,G,POLE,7.6,7.6,Virginia Beach,VA,51810,23451
A1221485,1317979,Milestone Towers,Tower Infrastructure,C,MTOWER,53.3,53.9,CHESAPEAKE,VA,51550,23320
A1175467,1318314,,Unknown,G,POLE,9.1,9.1,Virginia Beach,VA,51810,23454
A1249440,1318340,Milestone Towers,Tower Infrastructure,C,LTOWER,59.4,60.7,ALDIE,VA,51107,20105
A1207934,1318341,Milestone Towers,Tower Infrastructure,C,MTOWER,47.5,47.5,LYNCHBURG,VA,51680,24502
A1247339,1318665,MILESTONE TOWERS,Tower Infrastructure,C,MTOWER,59.4,60.6,Williamsburg,VA,51199,23185
A1197909,1318853,,Unknown,C,MTOWER,25.9,27.1,Blacksburg,VA,51121,24060
A1274656,1318876,,Unknown,C,B,41.1,41.1,Richmond,VA,51041,23236
A1221488,1318904,Milestone Towers,Tower Infrastructure,C,MTOWER,59.4,60.0,STAFFORD,VA,51179,22554
A1259586,1318905,Milestone Towers,Tower Infrastructure,C,MTOWER,42.7,43.3,ASHBURN,VA,51107,20148
A1198845,1319132,Precision Cell LLC,Other,C,MTOWER,59.4,60.7,Sutherland,VA,51053,23885
A1314685,1319246,,Unknown,C,MTOWER,39.6,42.1,Virginia Beach,VA,51810,23464
A1247586,1319345,Dinwiddie County,Other,C,LTOWER,51.2,52.4,Sutherland,VA,51053,23885
A1202696,1319361,,Unknown,A,POLE,8.3,9.4,Bailey\'s Crossroads,VA,51059,22041
A1250206,1319465,,Unknown,C,MTOWER,54.8,56.0,Chesapeake,VA,51550,23321
A1185510,1319500,,Unknown,G,POLE,9.4,9.4,Bailey's Crossroads,VA,51059,22041
A1185059,1319526,,Unknown,G,POLE,9.4,9.4,Bailey's Crossroads,VA,51059,22302
A1197675,1319877,,Unknown,C,MTOWER,59.4,60.6,Gore,VA,51069,22637
A1197971,1319899,,Unknown,C,MTOWER,59.4,60.7,South Boston,VA,51083,24592
A1308571,1320002,,Unknown,C,MTOWER,24.7,24.7,Ashland,VA,51085,23005
A1202709,1320006,,Unknown,A,POLE,10.1,11.2,Alexandria,VA,51059,22311
A1191342,1320069,,Unknown,G,MTOWER,59.4,60.7,Craigsville,VA,51015,24430
A1218416,1320184,,Unknown,C,MTOWER,59.4,60.4,Harrisonburg,VA,51165,22802
A1304436,1320186,,Unknown,C,MTOWER,45.7,48.8,Newport News,VA,51700,23601
A1218082,1320288,,Unknown,C,POLE,9.1,9.1,Virginia Beach,VA,51810,23454
A1308909,1320381,,Unknown,G,MTOWER,41.0,43.0,STERLING,VA,51107,20166
A1196060,1320437,"Charlotte, County of",Government,G,LTOWER,59.4,59.4,Charlotte Ct House,VA,51037,23923
A1221465,1320470,Milestone Towers,Tower Infrastructure,C,MTOWER,39.6,40.2,WATERFORD,VA,51107,20197
A1196503,1320553,,Unknown,G,MTOWER,33.5,39.6,Charlottesville,VA,51003,22959
A1330342,1320607,,Unknown,G,MTOWER,38.1,40.8,Fort Eustis,VA,51700,23604
A1261775,1320674,,Unknown,C,MTOWER,39.9,41.5,Virginia Beach,VA,51810,234531903
A1217124,1320757,,Unknown,C,MTOWER,31.7,32.9,Blacksburg,VA,51121,24060
A1256005,1320840,,Unknown,G,LTOWER,80.8,86.9,Danville,VA,51143,24540
A1218719,1320939,"Virginia Tech Foundation, Inc WVTF Public Radio",Broadcasting/Media,C,LTOWER,69.5,69.5,Roanoke,VA,51161,24153
A1185512,1320977,,Unknown,G,LTOWER,57.9,61.0,Rapidan,VA,51047,22733
A1218041,1321293,,Unknown,C,LTOWER,93.9,95.4,Wytheville,VA,51197,24382
A1206010,1321349,,Unknown,C,LTOWER,42.7,42.7,Chesapeake,VA,51550,23324
A1216230,1321411,,Unknown,C,GTOWER,92.9,96.6,Cedar Bluff,VA,51167,24609
A1199647,1321570,,Unknown,G,POLE,9.1,9.1,Virginia Beach,VA,51810,23451
A1308570,1321710,,Unknown,G,LTOWER,79.2,80.8,Charlottesville,VA,51003,22902
A1308569,1321728,,Unknown,C,MTOWER,24.7,24.7,Ashland,VA,51085,23005
A1199653,1321845,,Unknown,G,POLE,9.1,9.1,Virginia Beach,VA,51810,23454
A1347374,1321959,,Unknown,C,POLE,7.6,9.5,Norfolk,VA,51710,23511
A1265485,1321994,Milestone Tower,Tower Infrastructure,C,MTOWER,38.1,38.7,Brambleton,VA,51107,20148
A1221470,1321995,Milestone Tower,Tower Infrastructure,C,MTOWER,35.1,35.7,WOODBRIDGE,VA,51153,22192
A1214562,1322132,,Unknown,C,MTOWER,41.1,42.7,Hampton,VA,51650,23669
A1214538,1322133,,Unknown,C,MTOWER,53.0,53.0,Portsmouth,VA,51740,23701
A1308567,1322238,,Unknown,C,MTOWER,50.3,51.8,MECHANICSVILLE,VA,51085,23111
A1347379,1322263,,Unknown,C,MTOWER,7.9,9.4,Norfolk,VA,51710,23511
A1314728,1322306,,Unknown,C,MTOWER,30.2,30.5,Ashland,VA,51085,23005
A1237622,1322490,New River Valley Emergency Communications Regional Authority,Other,C,LTOWER,56.4,57.9,Blacksburg,VA,51121,24073
A1297133,1322506,Milestone Towers,Tower Infrastructure,G,MTOWER,45.7,46.3,MIDDLEBURG,VA,51107,20117
A1304872,1322630,"Infra Towers, LLC",Other,C,MTOWER,45.7,47.2,Leesburg,VA,51107,20175
A1219940,1322734,"College of Agriculture and Life Sciences, Virginia Tech",Other,C,LTOWER,24.4,29.9,Blackstone,VA,51135,23824
A1308565,1322747,,Unknown,C,MTOWER,47.2,48.8,CHESAPEAKE,VA,51550,23321
A1250528,1322959,Milestone Towers,Tower Infrastructure,A,MTOWER,43.9,44.5,WOODBRIDGE,VA,51153,22191
A1199937,1322996,,Unknown,G,MTOWER,59.4,60.6,Henrico,VA,51087,23231
A1215607,1323206,,Unknown,G,UPOLE,38.4,38.4,Virginia Beach,VA,51810,23456
A1206421,1323211,Madison County,Other,G,LTOWER,59.4,60.7,Madison,VA,51113,22727
A1206384,1323212,Greene County,Other,G,LTOWER,59.4,60.7,Stanardsville,VA,51079,22973
A1308562,1323222,,Unknown,G,MTOWER,59.4,60.7,Staunton,VA,51790,24401
A1244248,1323248,,Unknown,C,POLE,11.1,12.3,Norfolk,VA,51710,23502
A1290660,1323420,,Unknown,A,MTOWER,67.1,68.3,Suffolk,VA,51800,23438
A1257192,1323539,Milestone Towers,Tower Infrastructure,C,MTOWER,45.7,46.3,STAFFORD,VA,51179,22554
A1264951,1323606,,Unknown,C,MTOWER,42.7,45.7,Lunenburg,VA,51111,23952
