School_ID,School_Name,Division_Name,Year,Accreditation_Status,Num_L3_Indicators,Has_L3_Indicators
380,Cardinal Elementary,Arlington County,2024-2025,Accredited,0,False
622,Claremont Immersion,Arlington County,2024-2025,Accredited,0,False
626,Discovery Elementary,Arlington County,2024-2025,Accredited,0,False
628,Dorothy Hamm Middle,Arlington County,2024-2025,Accredited,0,False
200,Dr. Charles R. Drew Elementary,Arlington County,2024-2025,Accredited,1,True
111,Escuela Key Elementary,Arlington County,2024-2025,Accredited,0,False
100,Glebe Elementary,Arlington County,2024-2025,Accredited,0,False
618,Arlington Community High,Arlington County,2024-2025,Accredited Alternative Accreditation Plan,3,True
611,Gunston Middle,Arlington County,2024-2025,Accredited,0,False
614,Hoffman-Boston Elementary,Arlington County,2024-2025,Accredited,0,False
613,Innovation Elementary ,Arlington County,2024-2025,Accredited,0,False
440,Jamestown Elementary,Arlington County,2024-2025,Accredited,0,False
180,Jefferson Middle,Arlington County,2024-2025,Accredited,0,False
500,Kenmore Middle,Arlington County,2024-2025,Accredited,0,False
460,Long Branch Elementary,Arlington County,2024-2025,Accredited,0,False
90,Carlin Springs Elementary,Arlington County,2024-2025,Accredited with Conditions,1,True
627,Montessori Public School of Arlington,Arlington County,2024-2025,Accredited,0,False
410,Nottingham Elementary,Arlington County,2024-2025,Accredited,0,False
360,Oakridge Elementary,Arlington County,2024-2025,Accredited,0,False
510,Randolph Elementary,Arlington County,2024-2025,Accredited,0,False
240,Swanson Middle,Arlington County,2024-2025,Accredited,0,False
420,Taylor Elementary,Arlington County,2024-2025,Accredited,0,False
211,Tuckahoe Elementary,Arlington County,2024-2025,Accredited,0,False
80,Washington-Liberty High,Arlington County,2024-2025,Accredited,0,False
480,Williamsburg Middle,Arlington County,2024-2025,Accredited,0,False
330,Yorktown High,Arlington County,2024-2025,Accredited,0,False
660,Buffalo Gap High,Augusta County,2024-2025,Accredited,0,False
30,Cassell Elementary,Augusta County,2024-2025,Accredited,0,False
140,Churchville Elementary,Augusta County,2024-2025,Accredited,0,False
370,Craigsville Elementary,Augusta County,2024-2025,Accredited,0,False
842,Edward G. Clymore Elementary,Augusta County,2024-2025,Accredited,1,True
670,Fort Defiance High,Augusta County,2024-2025,Accredited,0,False
843,Guy K. Stump Elementary,Augusta County,2024-2025,Accredited,0,False
40,North River Elementary,Augusta County,2024-2025,Accredited,1,True
740,Riverheads Elementary,Augusta County,2024-2025,Accredited,0,False
680,Riverheads High,Augusta County,2024-2025,Accredited,0,False
450,Wakefield High,Arlington County,2024-2025,Accredited with Conditions,1,True
90,S. Gordon Stewart Middle,Augusta County,2024-2025,Accredited,0,False
440,Stuarts Draft Elementary,Augusta County,2024-2025,Accredited,1,True
730,Stuarts Draft High,Augusta County,2024-2025,Accredited,0,False
60,Stuarts Draft Middle,Augusta County,2024-2025,Accredited,0,False
640,Wilson Elementary,Augusta County,2024-2025,Accredited,1,True
720,Wilson Memorial High,Augusta County,2024-2025,Accredited,0,False
844,Wilson Middle,Augusta County,2024-2025,Accredited,2,True
70,Riverheads Middle School,Augusta County,2024-2025,Conditionally Accredited (New School),0,False
650,Buffalo Gap Middle School,Augusta County,2024-2025,Conditionally Accredited (New School),0,False
140,Bath County High,Bath County,2024-2025,Accredited,0,False
120,Millboro Elementary,Bath County,2024-2025,Accredited,0,False
150,Valley Elementary,Bath County,2024-2025,Accredited,0,False
30,Big Island Elementary,Bedford County,2024-2025,Accredited,0,False
160,Boonsboro Elementary,Bedford County,2024-2025,Accredited,0,False
500,Forest Elementary,Bedford County,2024-2025,Accredited,0,False
1211,Forest Middle,Bedford County,2024-2025,Accredited,0,False
1214,Goodview Elementary,Bedford County,2024-2025,Accredited,0,False
980,Huddleston Elementary,Bedford County,2024-2025,Accredited,1,True
1212,Jefferson Forest High,Bedford County,2024-2025,Accredited,0,False
1180,Liberty High,Bedford County,2024-2025,Accredited,0,False
490,Liberty Middle,Bedford County,2024-2025,Accredited,0,False
970,Moneta Elementary,Bedford County,2024-2025,Accredited,0,False
180,Montvale Elementary,Bedford County,2024-2025,Accredited,0,False
480,Bedford Elementary,Bedford County,2024-2025,Accredited with Conditions,1,True
1200,Bedford Primary,Bedford County,2024-2025,Accredited with Conditions,2,True
610,New London Academy Elementary,Bedford County,2024-2025,Accredited,0,False
1170,Otter River Elementary,Bedford County,2024-2025,Accredited,0,False
1190,Staunton River High,Bedford County,2024-2025,Accredited,0,False
1191,Staunton River Middle,Bedford County,2024-2025,Accredited,0,False
640,Stewartsville Elementary,Bedford County,2024-2025,Accredited,0,False
1213,Thomas Jefferson Elementary,Bedford County,2024-2025,Accredited,0,False
250,Bland County Elementary ,Bland County,2024-2025,Accredited,0,False
260,Bland County High,Bland County,2024-2025,Accredited,0,False
220,Breckinridge Elementary,Botetourt County,2024-2025,Accredited,0,False
20,Buchanan Elementary,Botetourt County,2024-2025,Accredited,0,False
420,Central Academy Middle,Botetourt County,2024-2025,Accredited,0,False
390,Cloverdale Elementary,Botetourt County,2024-2025,Accredited,0,False
400,Colonial Elementary,Botetourt County,2024-2025,Accredited,0,False
30,Eagle Rock Elementary,Botetourt County,2024-2025,Accredited,0,False
460,Greenfield Elementary,Botetourt County,2024-2025,Accredited,0,False
430,James River High,Botetourt County,2024-2025,Accredited,0,False
440,Lord Botetourt High,Botetourt County,2024-2025,Accredited,0,False
450,Read Mountain Middle,Botetourt County,2024-2025,Accredited,0,False
40,Troutville Elementary,Botetourt County,2024-2025,Accredited,0,False
690,Meherrin Powellton Elementary,Brunswick County,2024-2025,Accredited,0,False
700,Red Oak-Sturgeon Elementary,Brunswick County,2024-2025,Accredited,0,False
720,Totaro Elementary,Brunswick County,2024-2025,Accredited,0,False
90,Council Elementary/Middle,Buchanan County,2024-2025,Accredited,0,False
1000,Council High ,Buchanan County,2024-2025,Accredited,0,False
1020,Hurley High,Buchanan County,2024-2025,Accredited,0,False
