#ASSMT_CD,HIGHEST_RECENT_IND,LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL,source_file,SCHOOL_DISTRCT_CD
,,2019-20,,Clarke County,5556,Clarke Central High School,All Students,Combined Test Score,2198460.0,43074.0,318,172,,1028.0,967,980,SAT_HIGHEST_2020_JUN_21_2021.csv,629.0
,,2019-20,,Clarke County,5556,Clarke Central High School,All Students,Essay Analysis Score - New,1258478.0,15097.0,76,42,,3.0,3,3,SAT_HIGHEST_2020_JUN_21_2021.csv,629.0
,,2019-20,,Clarke County,5556,Clarke Central High School,All Students,Essay Reading Score - New,1258478.0,15097.0,76,42,,5.0,5,5,SAT_HIGHEST_2020_JUN_21_2021.csv,629.0
,,2019-20,,Clarke County,5556,Clarke Central High School,All Students,Essay Total,1258478.0,15097.0,76,42,,13.0,13,14,SAT_HIGHEST_2020_JUN_21_2021.csv,629.0
,,2019-20,,Clarke County,5556,Clarke Central High School,All Students,Essay Writing Score - New,1258478.0,15097.0,76,42,,5.0,5,5,SAT_HIGHEST_2020_JUN_21_2021.csv,629.0
,,2019-20,,Clarke County,5556,Clarke Central High School,All Students,Math Section Score - New,2198460.0,43073.0,318,172,,503.0,474,479,SAT_HIGHEST_2020_JUN_21_2021.csv,629.0
,,2019-20,,Clarke County,5556,Clarke Central High School,All Students,Reading Test  Score - New,2198460.0,43074.0,318,172,,265.0,250,254,SAT_HIGHEST_2020_JUN_21_2021.csv,629.0
,,2019-20,,Clarke County,5556,Clarke Central High School,All Students,WritLang Test  Score - New,2198460.0,43075.0,318,172,,260.0,243,247,SAT_HIGHEST_2020_JUN_21_2021.csv,629.0
,,2020-21,,Clarke County,102,Cedar Shoals High School,All Students,Combined Test Score,687305.0,26245.333333333332,99,30,,1094.0,1069,1036,SAT_HIGHEST_2021_Dec062021.csv,629.0
,,2020-21,,Clarke County,102,Cedar Shoals High School,All Students,Essay Analysis Score - New,1509133.0,7921.0,30,13,,4.0,4,3,SAT_HIGHEST_2021_Dec062021.csv,629.0
,,2020-21,,Clarke County,102,Cedar Shoals High School,All Students,Essay Reading Score - New,1509133.0,7920.0,30,13,,5.0,5,4,SAT_HIGHEST_2021_Dec062021.csv,629.0
,,2020-21,,Clarke County,102,Cedar Shoals High School,All Students,Essay Total,1509133.0,7920.0,30,13,,14.0,13,13,SAT_HIGHEST_2021_Dec062021.csv,629.0
,,2020-21,,Clarke County,102,Cedar Shoals High School,All Students,Essay Writing Score - New,1509133.0,7920.0,30,13,,5.0,5,5,SAT_HIGHEST_2021_Dec062021.csv,629.0
,,2020-21,,Clarke County,102,Cedar Shoals High School,All Students,Math Section Score - New,687305.0,26246.0,99,30,,539.0,521,510,SAT_HIGHEST_2021_Dec062021.csv,629.0
,,2020-21,,Clarke County,102,Cedar Shoals High School,All Students,Reading Test  Score - New,687305.0,26245.0,99,30,,279.0,275,263,SAT_HIGHEST_2021_Dec062021.csv,629.0
,,2020-21,,Clarke County,102,Cedar Shoals High School,All Students,WritLang Test  Score - New,687305.0,26245.0,99,30,,277.0,273,263,SAT_HIGHEST_2021_Dec062021.csv,629.0
,,2020-21,,Clarke County,5556,Clarke Central High School,All Students,Combined Test Score,687305.0,26245.333333333332,99,69,,1094.0,1069,1083,SAT_HIGHEST_2021_Dec062021.csv,629.0
,,2020-21,,Clarke County,5556,Clarke Central High School,All Students,Essay Analysis Score - New,1509133.0,7921.0,30,17,,4.0,4,4,SAT_HIGHEST_2021_Dec062021.csv,629.0
,,2020-21,,Clarke County,5556,Clarke Central High School,All Students,Essay Reading Score - New,1509133.0,7920.0,30,17,,5.0,5,5,SAT_HIGHEST_2021_Dec062021.csv,629.0
,,2020-21,,Clarke County,5556,Clarke Central High School,All Students,Essay Total,1509133.0,7920.0,30,17,,14.0,13,14,SAT_HIGHEST_2021_Dec062021.csv,629.0
,,2020-21,,Clarke County,5556,Clarke Central High School,All Students,Essay Writing Score - New,1509133.0,7920.0,30,17,,5.0,5,5,SAT_HIGHEST_2021_Dec062021.csv,629.0
,,2020-21,,Clarke County,5556,Clarke Central High School,All Students,Math Section Score - New,687305.0,26246.0,99,69,,539.0,521,525,SAT_HIGHEST_2021_Dec062021.csv,629.0
,,2020-21,,Clarke County,5556,Clarke Central High School,All Students,Reading Test  Score - New,687305.0,26245.0,99,69,,279.0,275,281,SAT_HIGHEST_2021_Dec062021.csv,629.0
,,2020-21,,Clarke County,5556,Clarke Central High School,All Students,WritLang Test  Score - New,687305.0,26245.0,99,69,,277.0,273,277,SAT_HIGHEST_2021_Dec062021.csv,629.0
,,2021-22,,Clarke County,102,Cedar Shoals High School,All Students,Combined Test Score,1737678.0,42865.0,233,88,,1032.0,982,947,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,102,Cedar Shoals High School,All Students,Essay Analysis Score - New,350845.0,3589.0,14,TFS,,4.0,4,TFS,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,102,Cedar Shoals High School,All Students,Essay Reading Score - New,350845.0,3589.0,14,TFS,,5.0,4,TFS,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,102,Cedar Shoals High School,All Students,Essay Total,350845.0,3589.0,14,TFS,,14.0,13,TFS,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,102,Cedar Shoals High School,All Students,Essay Writing Score - New,350845.0,3589.0,14,TFS,,5.0,5,TFS,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,102,Cedar Shoals High School,All Students,Math Section Score - New,1737678.0,42864.0,233,88,,505.0,481,463,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,102,Cedar Shoals High School,All Students,Reading Test  Score - New,1737678.0,42865.0,233,88,,266.0,254,248,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,102,Cedar Shoals High School,All Students,WritLang Test  Score - New,1737678.0,42867.0,233,88,,261.0,247,236,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,104,Classic City High School,All Students,Combined Test Score,1737678.0,42865.0,233,TFS,,1032.0,982,TFS,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,104,Classic City High School,All Students,Math Section Score - New,1737678.0,42864.0,233,TFS,,505.0,481,TFS,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,104,Classic City High School,All Students,Reading Test  Score - New,1737678.0,42865.0,233,TFS,,266.0,254,TFS,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,104,Classic City High School,All Students,WritLang Test  Score - New,1737678.0,42867.0,233,TFS,,261.0,247,TFS,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,5556,Clarke Central High School,All Students,Combined Test Score,1737678.0,42865.0,233,144,,1032.0,982,1005,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,5556,Clarke Central High School,All Students,Essay Analysis Score - New,350845.0,3589.0,14,10,,4.0,4,4,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,5556,Clarke Central High School,All Students,Essay Reading Score - New,350845.0,3589.0,14,10,,5.0,4,5,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,5556,Clarke Central High School,All Students,Essay Total,350845.0,3589.0,14,10,,14.0,13,14,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,5556,Clarke Central High School,All Students,Essay Writing Score - New,350845.0,3589.0,14,10,,5.0,5,5,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,5556,Clarke Central High School,All Students,Math Section Score - New,1737678.0,42864.0,233,144,,505.0,481,492,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,5556,Clarke Central High School,All Students,Reading Test  Score - New,1737678.0,42865.0,233,144,,266.0,254,258,SAT_HIGHEST_2022_Apr112023.csv,629.0
,,2021-22,,Clarke County,5556,Clarke Central High School,All Students,WritLang Test  Score - New,1737678.0,42867.0,233,144,,261.0,247,254,SAT_HIGHEST_2022_Apr112023.csv,629.0
